"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",5.4,3.9,1.7,0.4,"setosa"
"2",4.8,3.4,1.6,0.2,"setosa"
"3",5.7,3.8,1.7,0.3,"setosa"
"4",5.4,3.4,1.7,0.2,"setosa"
"5",5.1,3.3,1.7,0.5,"setosa"
"6",4.8,3.4,1.9,0.2,"setosa"
"7",5,3,1.6,0.2,"setosa"
"8",5,3.4,1.6,0.4,"setosa"
"9",4.7,3.2,1.6,0.2,"setosa"
"10",4.8,3.1,1.6,0.2,"setosa"
"11",5,3.5,1.6,0.6,"setosa"
"12",5.1,3.8,1.9,0.4,"setosa"
"13",5.1,3.8,1.6,0.2,"setosa"
"14",7,3.2,4.7,1.4,"versicolor"
"15",6.4,3.2,4.5,1.5,"versicolor"
"16",6.9,3.1,4.9,1.5,"versicolor"
"17",5.5,2.3,4,1.3,"versicolor"
"18",6.5,2.8,4.6,1.5,"versicolor"
"19",5.7,2.8,4.5,1.3,"versicolor"
"20",6.3,3.3,4.7,1.6,"versicolor"
"21",4.9,2.4,3.3,1,"versicolor"
"22",6.6,2.9,4.6,1.3,"versicolor"
"23",5.2,2.7,3.9,1.4,"versicolor"
"24",5,2,3.5,1,"versicolor"
"25",5.9,3,4.2,1.5,"versicolor"
"26",6,2.2,4,1,"versicolor"
"27",6.1,2.9,4.7,1.4,"versicolor"
"28",5.6,2.9,3.6,1.3,"versicolor"
"29",6.7,3.1,4.4,1.4,"versicolor"
"30",5.6,3,4.5,1.5,"versicolor"
"31",5.8,2.7,4.1,1,"versicolor"
"32",6.2,2.2,4.5,1.5,"versicolor"
"33",5.6,2.5,3.9,1.1,"versicolor"
"34",5.9,3.2,4.8,1.8,"versicolor"
"35",6.1,2.8,4,1.3,"versicolor"
"36",6.3,2.5,4.9,1.5,"versicolor"
"37",6.1,2.8,4.7,1.2,"versicolor"
"38",6.4,2.9,4.3,1.3,"versicolor"
"39",6.6,3,4.4,1.4,"versicolor"
"40",6.8,2.8,4.8,1.4,"versicolor"
"41",6.7,3,5,1.7,"versicolor"
"42",6,2.9,4.5,1.5,"versicolor"
"43",5.7,2.6,3.5,1,"versicolor"
"44",5.5,2.4,3.8,1.1,"versicolor"
"45",5.5,2.4,3.7,1,"versicolor"
"46",5.8,2.7,3.9,1.2,"versicolor"
"47",6,2.7,5.1,1.6,"versicolor"
"48",5.4,3,4.5,1.5,"versicolor"
"49",6,3.4,4.5,1.6,"versicolor"
"50",6.7,3.1,4.7,1.5,"versicolor"
"51",6.3,2.3,4.4,1.3,"versicolor"
"52",5.6,3,4.1,1.3,"versicolor"
"53",5.5,2.5,4,1.3,"versicolor"
"54",5.5,2.6,4.4,1.2,"versicolor"
"55",6.1,3,4.6,1.4,"versicolor"
"56",5.8,2.6,4,1.2,"versicolor"
"57",5,2.3,3.3,1,"versicolor"
"58",5.6,2.7,4.2,1.3,"versicolor"
"59",5.7,3,4.2,1.2,"versicolor"
"60",5.7,2.9,4.2,1.3,"versicolor"
"61",6.2,2.9,4.3,1.3,"versicolor"
"62",5.1,2.5,3,1.1,"versicolor"
"63",5.7,2.8,4.1,1.3,"versicolor"
"64",6.3,3.3,6,2.5,"virginica"
"65",5.8,2.7,5.1,1.9,"virginica"
"66",7.1,3,5.9,2.1,"virginica"
"67",6.3,2.9,5.6,1.8,"virginica"
"68",6.5,3,5.8,2.2,"virginica"
"69",7.6,3,6.6,2.1,"virginica"
"70",4.9,2.5,4.5,1.7,"virginica"
"71",7.3,2.9,6.3,1.8,"virginica"
"72",6.7,2.5,5.8,1.8,"virginica"
"73",7.2,3.6,6.1,2.5,"virginica"
"74",6.5,3.2,5.1,2,"virginica"
"75",6.4,2.7,5.3,1.9,"virginica"
"76",6.8,3,5.5,2.1,"virginica"
"77",5.7,2.5,5,2,"virginica"
"78",5.8,2.8,5.1,2.4,"virginica"
"79",6.4,3.2,5.3,2.3,"virginica"
"80",6.5,3,5.5,1.8,"virginica"
"81",7.7,3.8,6.7,2.2,"virginica"
"82",7.7,2.6,6.9,2.3,"virginica"
"83",6,2.2,5,1.5,"virginica"
"84",6.9,3.2,5.7,2.3,"virginica"
"85",5.6,2.8,4.9,2,"virginica"
"86",7.7,2.8,6.7,2,"virginica"
"87",6.3,2.7,4.9,1.8,"virginica"
"88",6.7,3.3,5.7,2.1,"virginica"
"89",7.2,3.2,6,1.8,"virginica"
"90",6.2,2.8,4.8,1.8,"virginica"
"91",6.1,3,4.9,1.8,"virginica"
"92",6.4,2.8,5.6,2.1,"virginica"
"93",7.2,3,5.8,1.6,"virginica"
"94",7.4,2.8,6.1,1.9,"virginica"
"95",7.9,3.8,6.4,2,"virginica"
"96",6.4,2.8,5.6,2.2,"virginica"
"97",6.3,2.8,5.1,1.5,"virginica"
"98",6.1,2.6,5.6,1.4,"virginica"
"99",7.7,3,6.1,2.3,"virginica"
"100",6.3,3.4,5.6,2.4,"virginica"
"101",6.4,3.1,5.5,1.8,"virginica"
"102",6,3,4.8,1.8,"virginica"
"103",6.9,3.1,5.4,2.1,"virginica"
"104",6.7,3.1,5.6,2.4,"virginica"
"105",6.9,3.1,5.1,2.3,"virginica"
"106",5.8,2.7,5.1,1.9,"virginica"
"107",6.8,3.2,5.9,2.3,"virginica"
"108",6.7,3.3,5.7,2.5,"virginica"
"109",6.7,3,5.2,2.3,"virginica"
"110",6.3,2.5,5,1.9,"virginica"
"111",6.5,3,5.2,2,"virginica"
"112",6.2,3.4,5.4,2.3,"virginica"
"113",5.9,3,5.1,1.8,"virginica"
